firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
Kevin,Durant,"Durant, Kevin",201142,1610612751,7,F,6,10,2.08,240.0,108.9,1988-09-29,2007,13,Texas-Austin,Texas-Austin/USA,USA
Al,Horford,"Horford, Al",201143,1610612738,42,C-F,6,9,2.06,240.0,108.9,1986-06-03,2007,14,Florida,Florida/Dominican Republic,Dominican Republic
Mike,Conley,"Conley, Mike",201144,1610612762,11,G,6,1,1.85,175.0,79.4,1987-10-11,2007,14,Ohio State,Ohio State/USA,USA
Jeff,Green,"Green, Jeff",201145,1610612743,32,F,6,8,2.03,235.0,106.6,1986-08-28,2007,13,Georgetown,Georgetown/USA,USA
Thaddeus,Young,"Young, Thaddeus",201152,1610612761,21,F,6,8,2.03,235.0,106.6,1988-06-21,2007,14,Georgia Tech,Georgia Tech/USA,USA
Derrick,Rose,"Rose, Derrick",201565,1610612752,4,G,6,2,1.88,200.0,90.7,1988-10-04,2008,12,Memphis,Memphis/USA,USA
Russell,Westbrook,"Westbrook, Russell",201566,1610612747,0,G,6,3,1.9,200.0,90.7,1988-11-12,2008,13,UCLA,UCLA/USA,USA
Kevin,Love,"Love, Kevin",201567,1610612739,0,F-C,6,8,2.03,251.0,113.9,1988-09-07,2008,13,UCLA,UCLA/USA,USA
Danilo,Gallinari,"Gallinari, Danilo",201568,1610612737,8,F,6,10,2.08,236.0,107.0,1988-08-08,2008,12,Olimpia Milano,Olimpia Milano/Italy,Italy
Eric,Gordon,"Gordon, Eric",201569,1610612745,10,G,6,3,1.9,215.0,97.5,1988-12-25,2008,13,Indiana,Indiana/USA,USA
D.J.,Augustin,"Augustin, D.J.",201571,1610612747,4,G,5,11,1.8,183.0,83.0,1987-11-10,2008,13,Texas-Austin,Texas-Austin/USA,USA
Brook,Lopez,"Lopez, Brook",201572,1610612749,11,C,7,0,2.13,282.0,127.9,1988-04-01,2008,13,Stanford,Stanford/USA,USA
Robin,Lopez,"Lopez, Robin",201577,1610612753,33,C,7,0,2.13,281.0,127.5,1988-04-01,2008,13,Stanford,Stanford/USA,USA
JaVale,McGee,"McGee, JaVale",201580,1610612756,0,C-F,7,0,2.13,270.0,122.5,1988-01-19,2008,13,Nevada-Reno,Nevada-Reno/USA,USA
Serge,Ibaka,"Ibaka, Serge",201586,1610612749,25,F,6,10,2.08,235.0,106.6,1989-09-18,2009,12,Ricoh Manresa,Ricoh Manresa/Republic of the Congo,Republic of the Congo
Nicolas,Batum,"Batum, Nicolas",201587,1610612746,33,G-F,6,8,2.03,230.0,104.3,1988-12-14,2008,13,Le Mans,Le Mans/France,France
George,Hill,"Hill, George",201588,1610612749,3,G,6,4,1.93,188.0,85.3,1986-05-04,2008,13,Indiana-Purdue Indianapolis,Indiana-Purdue Indianapolis/USA,USA
DeAndre,Jordan,"Jordan, DeAndre",201599,1610612755,9,C,6,11,2.11,265.0,120.2,1988-07-21,2008,13,Texas A&M,Texas A&M/USA,USA
